#{"t_start": 1767579537.951397, "env_id": "highway-v0"}
r,l,t
28.697563,40,20.19353
14.690313,19,29.174699
31.835565,40,47.90456
6.663852,8,51.775196
1.2,2,52.745805
36.592432,40,71.805657
12.447801,14,78.365871
29.008928,40,97.155112
28.444444,40,116.01545
14.198905,18,124.619778
30.015658,40,143.456953
5.066667,6,146.277117
28.912791,40,165.145234
12.534004,14,171.810745
29.654969,40,190.776768
1.244444,2,191.740059
28.895708,40,210.468276
28.463849,40,229.246593
28.575415,40,248.07739
5.420433,7,251.445668
29.870205,40,270.171541
13.426531,15,277.142355
16.841713,21,287.012979
30.317286,40,305.73139
30.680968,38,323.544336
26.913764,40,342.530522
28.883252,40,361.352172
8.037466,11,366.521387
24.941931,28,379.629123
28.381498,40,398.360223
29.86571,40,417.05147
19.774987,26,429.24619
2.025144,3,430.676908
6.653313,8,434.461992
14.166999,18,442.997386
28.005794,40,461.713856
14.214504,15,468.753621
1.080027,2,469.711968
13.088779,16,477.330596
18.268785,22,487.79299
2.050782,3,489.168497
3.939758,5,491.515045
13.437085,17,499.451545
29.922398,40,518.404931
2.766529,4,520.33769
3.810817,6,523.181425
2.730189,4,525.062852
6.600124,9,529.326937
20.859826,29,542.831659
8.148423,10,547.53984
11.562194,15,554.650152
8.874111,10,559.331827
22.231492,26,571.540213
5.018324,6,574.377763
16.426534,18,582.844705
2.543723,4,584.713562
27.613954,40,603.603122
28.398246,40,622.231306
28.573266,37,639.593238
30.517755,40,658.592382
13.170547,16,666.252742
18.950015,23,677.009375
2.68778,4,678.89464
16.219611,20,688.312992
5.066667,6,691.156135
2.692466,4,692.995573
5.362661,7,696.279207
28.122813,40,714.894928
32.265975,40,733.744405
4.309494,6,736.549175
29.416442,40,755.436351
6.385175,8,759.211312
4.651274,6,762.075542
10.047119,12,767.912511
4.839814,6,770.76954
6.715922,9,775.032715
23.354104,40,793.793177
1.12803,2,794.731151
3.658577,5,797.058024
28.270572,40,815.805918
11.829947,13,821.912972
27.579129,40,840.829092
13.648991,18,849.105514
10.508172,13,855.253853
6.308497,8,859.085037
8.300692,10,863.790167
35.311325,40,882.646349
8.905298,12,888.263464
29.235801,40,907.006074
11.791352,14,913.541983
35.963774,40,932.470518
23.180596,29,946.109732
22.589857,28,959.330776
16.684212,21,975.630239
28.537047,40,994.258346
11.693573,14,1000.873675
27.845895,40,1019.680984
28.451956,40,1038.351214
28.133041,40,1057.165008
29.929325,40,1075.878674
15.016389,18,1084.36731
28.408979,40,1102.821941
29.845414,40,1121.495329
15.463495,17,1129.600399
12.012679,16,1137.193322
29.104739,40,1156.023042
29.540204,40,1174.927999
5.002427,7,1178.23793
31.303043,40,1197.074244
29.89129,40,1216.195446
29.405494,40,1234.969897
8.726574,10,1239.656312
13.293548,16,1247.27682
31.621738,40,1266.234873
29.54721,40,1285.063844
4.8,6,1287.912153
7.65994,9,1292.125622
28.99812,40,1310.958851
5.321707,7,1314.288243
13.56878,16,1321.918834
28.525636,40,1340.603723
30.235119,40,1359.353011
9.095171,10,1364.075722
30.787026,40,1382.96271
30.638148,40,1401.714073
4.242409,6,1404.617902
5.010894,6,1407.416758
16.535247,19,1416.456911
28.809997,40,1435.33439
29.127414,40,1454.155039
4.727252,6,1456.915196
26.870575,40,1475.681696
27.412398,40,1494.453499
28.242962,40,1513.273132
31.445741,40,1531.960428
28.5921,40,1550.674935
13.622962,17,1558.752242
31.681188,40,1577.417078
30.040515,40,1596.099504
27.762244,40,1614.816459
29.393066,40,1633.679146
28.928645,40,1652.602811
5.876839,8,1656.29602
6.245874,8,1660.118387
32.933946,40,1678.973779
18.582963,20,1688.378214
10.614214,13,1694.56657
28.98804,40,1713.478081
32.214037,40,1732.354068
29.409827,40,1751.159704
32.294999,40,1769.855822
17.87176,23,1780.66725
27.866667,40,1799.376253
29.840934,40,1818.175534
32.167871,40,1836.994192
31.070836,40,1855.764221
28.952659,40,1874.556061
28.177792,40,1893.386906
27.648819,40,1912.092523
34.242491,40,1931.028123
13.024796,16,1945.012078
7.929397,10,1949.685854
3.006521,4,1951.573682
32.477163,40,1970.336224
28.460013,40,1989.434756
30.949007,40,2008.36212
31.542197,40,2027.223497
31.545716,40,2046.008712
27.950189,40,2064.769293
30.805772,40,2083.678663
26.968069,40,2102.36352
32.327838,40,2121.287182
30.311095,40,2140.065512
31.314099,40,2158.831514
16.516324,21,2168.724911
31.011884,40,2187.43941
7.245428,9,2191.658273
27.705122,40,2210.460148
4.545633,6,2213.23844
9.080601,11,2218.405728
27.456984,40,2237.3882
28.276702,40,2256.198982
28.641282,40,2275.126063
30.158951,40,2294.004852
29.267159,40,2312.648626
28.577156,40,2331.468631
34.04623,40,2350.420309
29.74481,40,2369.198587
28.109635,40,2387.96944
30.440625,40,2406.756466
33.038452,40,2425.416394
31.19805,40,2444.262295
30.133116,40,2462.982424
29.337839,40,2481.815312
15.984864,20,2491.190591
30.262775,40,2509.943748
29.223558,40,2528.737876
28.283697,40,2547.536984
15.542905,19,2556.462292
26.868754,40,2575.297163
4.713289,6,2578.139761
29.982615,40,2597.036534
29.333333,40,2615.808074
29.036044,40,2634.59322
31.207051,40,2653.402415
8.141513,10,2658.14251
31.198158,40,2676.947903
30.14065,40,2695.881135
30.213073,40,2714.725489
31.086563,40,2733.561754
31.372048,40,2752.251196
30.952878,40,2770.975708
28.572217,40,2789.817482
28.209972,40,2808.613845
30.093278,40,2827.62278
29.844465,40,2846.380589
27.387792,35,2862.757657
26.789819,40,2881.530312
30.163995,40,2900.338017
28.823837,40,2925.808346
29.436738,40,2944.782509
33.327759,40,2963.538158
33.417558,40,2982.409918
6.822914,8,2986.17192
29.774149,40,3004.932811
31.299343,40,3023.522705
31.597703,40,3042.523168
28.387019,40,3061.404355
29.005918,40,3080.2687
31.688971,40,3099.007273
31.145723,40,3117.733512
30.340995,40,3136.482354
29.359125,40,3155.435734
29.520541,40,3174.259109
22.768579,28,3187.609466
29.912212,40,3206.524347
30.383695,40,3225.404688
28.864953,40,3244.257818
28.615339,40,3263.045301
31.464593,40,3281.762577
26.677634,36,3298.50209
31.933106,40,3317.360799
29.095372,40,3336.237118
28.891522,40,3355.102373
30.122061,40,3373.875893
31.728928,40,3392.666856
32.414962,40,3411.546162
29.799599,40,3430.402211
31.219224,40,3449.441474
29.174637,40,3468.22141
31.575086,40,3487.04317
29.4601,40,3505.835609
28.630113,40,3524.540209
28.412943,40,3543.50356
31.74822,40,3562.483065
32.78684,40,3581.236266
30.326912,40,3600.04162
30.20272,40,3618.808709
28.252506,40,3637.65841
28.307304,40,3656.534442
28.957563,40,3675.622804
32.760214,40,3694.37435
28.768461,40,3713.130175
29.651958,40,3731.898432
29.778372,40,3750.92821
28.419809,40,3769.90487
30.272851,40,3788.775611
31.19985,40,3807.541212
30.836075,40,3826.244672
28.51961,40,3845.193037
28.816233,40,3864.00665
28.966539,40,3889.472983
30.307935,40,3908.341896
28.530677,40,3927.169272
5.330638,6,3930.027171
30.134427,40,3948.826571
32.766194,40,3967.791116
30.504648,40,3986.482252
32.64734,40,4005.265096
32.349387,40,4024.036931
30.772064,40,4042.743672
31.288319,40,4061.533691
30.27937,40,4080.338537
29.373549,40,4099.048037
8.874189,13,4105.191897
29.16087,40,4123.792653
3.48257,5,4126.130429
29.24401,40,4144.996311
31.309226,40,4163.698915
30.969981,40,4182.618823
28.860685,40,4201.606785
32.962941,40,4220.397492
30.205112,40,4239.095335
27.745436,40,4257.942945
30.611058,40,4276.878058
28.457436,40,4295.549839
30.51354,40,4314.221632
28.822484,40,4333.127962
32.674229,40,4351.836769
31.563379,40,4370.462523
31.121508,40,4389.281083
29.219815,40,4408.025482
28.254833,40,4426.824908
29.629776,40,4445.645533
31.038101,40,4464.47394
30.234091,40,4483.24787
30.735736,40,4502.03998
29.863029,40,4520.812251
29.398538,40,4539.570292
30.025856,40,4558.321765
30.367128,40,4577.099959
29.387744,40,4595.898465
31.4462,40,4614.75137
29.274288,40,4633.457831
32.368449,40,4652.036371
29.892196,40,4670.877288
30.585345,40,4689.710405
27.780487,40,4708.55845
31.591971,40,4727.213016
17.529813,22,4737.648628
32.614496,40,4756.513683
32.236568,40,4775.296705
29.937141,40,4794.238425
31.492958,40,4813.157155
31.933173,40,4831.835815
30.725095,40,4857.334173
28.959594,40,4876.135183
29.394594,40,4894.92423
28.916735,40,4913.65269
28.595001,40,4932.652835
29.521464,40,4951.485142
30.633759,40,4970.271481
29.486821,40,4989.274826
29.557839,40,5008.116359
30.219991,40,5026.956168
32.146016,40,5045.801874
32.150433,40,5064.70053
31.469035,40,5083.379554
29.577471,40,5102.110492
28.733012,40,5120.75612
30.64362,40,5139.53962
29.585932,40,5158.947192
31.601686,40,5178.145404
30.493758,40,5196.989652
30.875704,40,5215.791842
28.455486,40,5234.695483
29.377975,40,5253.644737
30.147361,40,5272.370901
32.046632,40,5291.155427
28.863473,40,5309.991104
29.511604,40,5328.782815
30.112128,40,5347.504289
32.293067,40,5366.403859
29.923775,40,5385.212493
30.874918,40,5403.927091
29.486873,40,5422.684476
32.388142,40,5441.337831
28.88651,40,5460.023973
28.886304,40,5478.843976
27.946113,40,5497.571512
30.022168,40,5516.130033
31.636475,40,5534.825686
31.652422,40,5553.586405
30.607921,40,5572.365458
29.942987,40,5591.133084
30.366899,40,5610.096128
29.449325,40,5628.960812
30.681585,40,5647.921485
28.299605,40,5666.823581
31.552864,40,5685.842483
32.377231,40,5704.864221
30.799433,40,5723.676517
28.170002,40,5742.465371
29.53556,37,5759.956547
30.596131,40,5778.684475
30.32304,40,5797.410457
30.504227,40,5822.847453
28.0289,40,5841.703786
29.479892,40,5860.432302
33.128322,40,5879.199276
29.666349,40,5898.044919
29.650973,40,5916.733293
31.38984,40,5935.727561
30.898889,40,5954.604717
33.539717,40,5973.27199
4.513202,6,5976.045575
30.791648,40,5994.777411
30.976427,40,6013.703706
28.439775,40,6032.506222
29.887503,40,6051.160874
30.680286,40,6069.970857
31.229097,40,6088.799696
30.899032,40,6107.593494
32.007988,40,6126.352435
29.058661,40,6145.197711
29.482144,40,6164.066298
28.374396,40,6182.846639
30.191715,40,6201.538541
30.151364,40,6220.377612
31.228608,40,6239.129523
30.705995,40,6257.923785
29.743699,40,6276.691828
29.101071,40,6295.50466
31.902174,40,6314.35558
29.462866,40,6333.141945
29.681725,40,6351.912915
28.213983,40,6370.709936
2.021041,3,6372.110319
30.98239,40,6391.028316
31.327093,40,6409.88923
29.305422,40,6428.831258
30.867656,40,6447.772716
32.333254,40,6466.650144
27.021425,36,6483.530182
28.842593,40,6502.237592
31.859071,40,6521.165979
30.156498,40,6539.841684
30.288976,40,6558.540579
28.551791,40,6577.341258
32.066394,40,6596.154273
31.860859,40,6615.072279
31.879312,40,6633.809273
30.643273,40,6652.559835
30.783524,40,6671.519949
30.074981,40,6690.321076
30.230848,40,6709.131973
30.038395,40,6728.081822
28.258869,40,6746.909652
28.789618,40,6765.774846
30.614739,40,6784.521776
